"folderName","anyInserted","anyDeleted","getMovedSrcs","UpdatedSrcs","insertedIfConditions","deletedIfStmts","elseInserted","elseDeleted","AnythingInLineMoved","AnythingInLineUpdated","AnythingInLineDeleted","AnythingMovedIntoLine","AnythingInsertedIntoLine","EntireLineMoved","EntireLineDeleted","stringsUpdated","magicStringsReplaced","MovedBlocksInIfConditions","AddedOrUpdatedComments","InsertedAssertConditions","InsertedTryCatch","UpdatedValueAssignments","RemovedTryCatch","UpdatedFuncArguments","hasOldFile","hasNewFile","numOldFiles","numNewFiles","isDupe","error"
"9fdfeff1_719b5072","22","21","24","4","0","0","0","0","0","0","1","0","12","0","1","0","0","0","9","0","0","1","0","0","1","1","1","1","0",
"9fdfeff1_0a1eeaba","0","8","0","0","0","0","0","2","0","0","1","0","6","0","1","0","0","0","0","0","0","0","0","0","1","1","1","1","0",
"3f79a3b5_ce50a40b","28","1","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","4","1","1","1","1","0",
"5fc1f717_40e4dc3c","1","5","114","0","0","0","0","0","1","0","0","9","1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0",
"9fdfeff1_233726b3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","3","0","0","1","0","0","1","0","0","1","1","1","1","0",
"9fdfeff1_4532aaf4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0",
"5fc1f717_fd2718c6","2","117","106","12","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0",
"9fdfeff1_d777d907","3","174","33","10","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","1","1","1","1","0",
"9fdfeff1_127753a2","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0",
"9fdfeff1_13a430a2","8","17","1","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0",
"9fdfeff1_f3dc3f75","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0",
"9fdfeff1_7b488f86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1",
"5fc1f717_7133cb63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1",
"9fdfeff1_916fd45e","0","21","24","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0",
"bfdaf3ff_433fdd24","0","6","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0",
"9fdfeff1_7e15819b","30","2","71","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","6","1","1","1","1","0",
"9fdfeff1_de1c3279","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1",
"5fc1f717_91cddc5e","0","56","2","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","3","1","1","1","1","0",
"3f79a3b5_8679ac82","0","69","0","0","0","0","0","0","0","0","3","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","1","1","0",
"5fc1f717_ce48df5d","38","38","33","1","0","0","0","0","0","0","1","0","38","0","1","0","0","0","11","0","0","1","0","0","1","1","1","1","0",
"9fdfeff1_f710225c","0","8","21","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0",
"9fdfeff1_2fabcad7","0","1","0","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","1","1","1","0",
"3f79a3b5_c90a3acf","0","0","104","0","0","0","0","0","2","0","0","4","0","0","0","2","0","0","0","0","0","0","0","0","1","1","1","1","0",
"9fdfeff1_ab31ed5b","0","10","2","6","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0",
"9fdfeff1_69a072f5","0","16","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","1","1","0",
"9fdfeff1_2fa0c942","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0",
"9fdfeff1_e1d1ff58","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0",
"9fdfeff1_c3f688d9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0",
"9fdfeff1_8d6930bf","0","5","77","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0",
"3f79a3b5_a262a9a6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0",
"9fdfeff1_a1915354","38","263","148","1","0","0","0","1","1","0","0","4","5","1","0","0","0","0","6","0","0","0","0","0","1","1","1","1","0",
"5fc1f717_44be90b4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0",
"9fdfeff1_ea6f428f","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0",
"5fc1f717_b3442049","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0",
"9fdfeff1_1833c964","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0",
"5fc1f717_d167ad4c","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0",
"9fdfeff1_9564c023","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0",
"9fdfeff1_58801a47","3","1","13","0","0","0","0","0","0","0","0","13","0","0","0","3","0","0","0","0","0","0","0","0","1","1","1","1","0",
"9fdfeff1_58a7ba0c","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1",
"9fdfeff1_d2d5ecb8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1",
"3fce034c_ab1462a1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1",
"9fdfeff1_335d3e79","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0",
"ffb9cba7_7eede4ed","8","1","1","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0",
"3f79a3b5_6ee8a97d","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","2","0","0","2","0","0","2","0","0","1","1","1","1","0",
"9fdfeff1_216483b8","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","1","1","1","1","0","syntax"
"9fdfeff1_0aa4184a","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0",
"9fdfeff1_f90ba279","43","34","67","5","0","0","0","3","0","0","0","0","8","1","0","0","0","0","7","0","0","0","0","0","1","1","1","1","0",
"5fc1f717_823c55c8","11","15","1","2","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0",
"3f79a3b5_750f0d38","0","302","0","0","0","0","0","4","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1","1","0",
"3f79a3b5_314fcc31","0","11","0","1","0","0","0","9","0","0","1","0","0","0","1","3","2","0","0","0","0","0","0","0","1","1","1","1","0",
"9fdfeff1_eb0bff79","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0",
"9fdfeff1_2cb661de","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1",
"9fdfeff1_2820e8ab","8","2","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","8","0","0","2","0","0","1","1","1","1","0",
"5fc1f717_5db09543","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0",
"9fdfeff1_6b6b8f84","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0",
"9fdfeff1_c58a71bd","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0",
"9fdfeff1_92447aba","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0",
"9fdfeff1_49de653f","2","3","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","1","1","1","0",
"3f79a3b5_c27dc1c3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0",
"3f79a3b5_db2b47e6","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0",
"3f79a3b5_025efd12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0",
"9fdfeff1_f08c9e80","0","246","200","20","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0",
"5fc1f717_fc70fede","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1",
"9fdfeff1_d26f6291","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0",
"9fdfeff1_042428c5","7","45","471","4","1","0","0","0","0","0","0","0","7","1","0","0","0","0","0","0","0","0","1","0","1","1","1","1","0",
"1f769fc5_eb2aac8e","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","1","1","1","1","0",
"3f79a3b5_f6af6e99","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0",
"1f769fc5_18ff2aab","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","1","1","1","1","0",
"9fdfeff1_a3ba6407","0","0","48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0",
"5fc1f717_ec37b1af","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0",
"9fdfeff1_b8d5dde7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0",
"9fdfeff1_801e4d5d","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0",
"9fdfeff1_b2f6d1d6","4","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","1","1","1","1","1","0",
